GPIO.032.061.1:DATAOUT.0 HMC.022.061:DDIOPHYDQDIN.0
GPIO.032.061.1:DATAOUT.1 HMC.022.061:DDIOPHYDQDIN.1
GPIO.032.061.1:DATAOUT.2 HMC.022.061:DDIOPHYDQDIN.2
GPIO.032.061.1:DATAOUT.3 HMC.022.061:DDIOPHYDQDIN.3
GPIO.032.061.0:DATAOUT.0 HMC.022.061:DDIOPHYDQDIN.4
GPIO.032.061.0:DATAOUT.1 HMC.022.061:DDIOPHYDQDIN.5
GPIO.032.061.0:DATAOUT.2 HMC.022.061:DDIOPHYDQDIN.6
GPIO.032.061.0:DATAOUT.3 HMC.022.061:DDIOPHYDQDIN.7
GPIO.032.061.2:DATAOUT.0 HMC.022.061:DDIOPHYDQDIN.8
GPIO.032.061.2:DATAOUT.1 HMC.022.061:DDIOPHYDQDIN.9
GPIO.032.061.2:DATAOUT.2 HMC.022.061:DDIOPHYDQDIN.10
GPIO.032.061.2:DATAOUT.3 HMC.022.061:DDIOPHYDQDIN.11
GPIO.034.061.3:DATAOUT.0 HMC.022.061:DDIOPHYDQDIN.12
GPIO.034.061.3:DATAOUT.1 HMC.022.061:DDIOPHYDQDIN.13
GPIO.034.061.3:DATAOUT.2 HMC.022.061:DDIOPHYDQDIN.14
GPIO.034.061.3:DATAOUT.3 HMC.022.061:DDIOPHYDQDIN.15
GPIO.036.061.1:DATAOUT.0 HMC.022.061:DDIOPHYDQDIN.16
GPIO.036.061.1:DATAOUT.1 HMC.022.061:DDIOPHYDQDIN.17
GPIO.036.061.1:DATAOUT.2 HMC.022.061:DDIOPHYDQDIN.18
GPIO.036.061.1:DATAOUT.3 HMC.022.061:DDIOPHYDQDIN.19
GPIO.036.061.0:DATAOUT.0 HMC.022.061:DDIOPHYDQDIN.20
GPIO.036.061.0:DATAOUT.1 HMC.022.061:DDIOPHYDQDIN.21
GPIO.036.061.0:DATAOUT.2 HMC.022.061:DDIOPHYDQDIN.22
GPIO.036.061.0:DATAOUT.3 HMC.022.061:DDIOPHYDQDIN.23
