GPIO.065.000.1:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.0
GPIO.065.000.1:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.1
GPIO.065.000.1:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.2
GPIO.065.000.1:DATAOUT.3 HMC.041.000:DDIOPHYDQDIN.3
GPIO.065.000.0:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.4
GPIO.065.000.0:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.5
GPIO.065.000.0:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.6
GPIO.065.000.0:DATAOUT.3 HMC.041.000:DDIOPHYDQDIN.7
GPIO.065.000.2:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.8
GPIO.065.000.2:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.9
GPIO.065.000.2:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.10
GPIO.065.000.2:DATAOUT.3 HMC.041.000:DDIOPHYDQDIN.11
GPIO.067.000.3:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.12
GPIO.067.000.3:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.13
GPIO.067.000.3:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.14
GPIO.067.000.3:DATAOUT.3 HMC.041.000:DDIOPHYDQDIN.15
GPIO.069.000.1:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.16
GPIO.069.000.1:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.17
GPIO.069.000.1:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.18
GPIO.069.000.1:DATAOUT.3 HMC.041.000:DDIOPHYDQDIN.19
GPIO.069.000.0:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.20
GPIO.069.000.0:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.21
GPIO.069.000.0:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.22
GPIO.069.000.0:DATAOUT.3 HMC.041.000:DDIOPHYDQDIN.23
GPIO.069.000.2:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.24
GPIO.069.000.2:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.25
GPIO.069.000.2:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.26
GPIO.069.000.2:DATAOUT.3 HMC.041.000:DDIOPHYDQDIN.27
GPIO.071.000.3:DATAOUT.0 HMC.041.000:DDIOPHYDQDIN.28
GPIO.071.000.3:DATAOUT.1 HMC.041.000:DDIOPHYDQDIN.29
GPIO.071.000.3:DATAOUT.2 HMC.041.000:DDIOPHYDQDIN.30
