CTRL.000.003:SPIDATAOUT.0 GPIO.022.000.1:BUFFER_IN
CTRL.000.003:SPIDATAOUT.1 GPIO.013.000.3:BUFFER_IN
CTRL.000.003:SPIDATAOUT.2 GPIO.013.000.1:BUFFER_IN
CTRL.000.003:SPIDATAOUT.3 GPIO.011.000.3:BUFFER_IN
CTRL.000.003:SPIDCLK GPIO.022.000.0:BUFFER_IN
CTRL.000.003:SPISCE GPIO.011.000.1:BUFFER_IN
CMUXHG.000.008:CLKFBOUT.3 FPLL.000.013:FBCLK_IN_L0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.004.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.012.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.019.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.034.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.042.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.050.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.057.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 DQS16.064.061.1:DELAY_CTRL_IN.0
DLL.000.059:DELAY_CTRL_OUT.0 LVL.008.061.1:CTL_DLL.0
DLL.000.059:DELAY_CTRL_OUT.0 LVL.016.061.1:CTL_DLL.0
DLL.000.059:DELAY_CTRL_OUT.0 LVL.039.061.1:CTL_DLL.0
DLL.000.059:DELAY_CTRL_OUT.0 LVL.054.061.1:CTL_DLL.0
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.004.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.012.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.019.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.034.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.042.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.050.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.057.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 DQS16.064.061.1:DELAY_CTRL_IN.1
DLL.000.059:DELAY_CTRL_OUT.1 LVL.008.061.1:CTL_DLL.1
DLL.000.059:DELAY_CTRL_OUT.1 LVL.016.061.1:CTL_DLL.1
DLL.000.059:DELAY_CTRL_OUT.1 LVL.039.061.1:CTL_DLL.1
DLL.000.059:DELAY_CTRL_OUT.1 LVL.054.061.1:CTL_DLL.1
DLL.000.059:DELAY_CTRL_OUT.2 DQS16.004.061.1:DELAY_CTRL_IN.2
DLL.000.059:DELAY_CTRL_OUT.2 DQS16.012.061.1:DELAY_CTRL_IN.2
DLL.000.059:DELAY_CTRL_OUT.2 DQS16.019.061.1:DELAY_CTRL_IN.2
DLL.000.059:DELAY_CTRL_OUT.2 DQS16.034.061.1:DELAY_CTRL_IN.2
DLL.000.059:DELAY_CTRL_OUT.2 DQS16.042.061.1:DELAY_CTRL_IN.2
DLL.000.059:DELAY_CTRL_OUT.2 DQS16.050.061.1:DELAY_CTRL_IN.2
